sep=,
year,iso," country_name",occurrence,"Total deaths",Injured,Affected,Homeless,"Total affected","Total damage"
2007,MKD,"Macedonia (the former Yugoslav Republic of)",1,,,202,,202,
2007,ROU,Romania,1,30,,,,,
2007,SRB,Serbia,1,,,,,,
2007,SVK,Slovakia,1,1,89,,,89,
2007,TUR,Turkey,1,3,,,,,
2008,JPN,Japan,1,47,,,,,
2009,AUS,Australia,1,347,2000,,,2000,
2009,IND,India,1,120,25,,,25,
2009,JPN,Japan,1,16,,,,,
2010,BRA,Brazil,1,32,,,,,
2010,IND,India,1,250,,,,,
2010,JPN,Japan,1,170,,15000,,15000,
2010,RUS,"Russian Federation (the)",1,55736,,,,,400000
2011,ITA,Italy,1,10,,,,,
2011,JPN,Japan,1,36,22000,,,22000,
2011,USA,"United States of America (the)",1,22,,,,,
2012,USA,"United States of America (the)",1,123,,,,,
2013,BOL,"Bolivia (Plurinational State of)",1,18,,17490,,17490,
2013,CHN,China,1,40,,,,,
2013,IND,India,1,557,,,,,
2013,JPN,Japan,1,338,54000,,,54000,
2013,GBR,"United Kingdom of Great Britain and Northern Irela",1,760,,,,,
2014,AUS,Australia,1,139,,,,,
2014,JPN,Japan,1,27,17000,,,17000,
2014,PAK,Pakistan,1,139,,,,,18000
2015,BEL,Belgium,1,410,,,,,
2015,EGY,Egypt,1,110,66,,,66,
2015,FRA,France,1,3275,,,,,
2015,IND,India,1,2248,,,,,
2015,JPN,Japan,3,39,14867,,,14867,
2015,PAK,Pakistan,1,1229,,80000,,80000,
2015,SDN,"Sudan (the)",1,16,,,,,
2016,IND,India,1,300,,,,,
2016,JPN,Japan,1,3,490,,,490,
2016,ZAF,"South Africa",1,11,20,,,20,
2017,IND,India,2,38,,,,,


"Created on: September 14, 2017"
"Source: EM-DAT: The Emergency Events Database - Universite catholique de Louvain (UCL) - CRED, D. Guha-Sapir - www.emdat.be, Brussels, Belgium"
